c1,c2,u1,u2,t
0,0,0.01208,0.00707,1
0,1,0.0005,0.02122,1
0,5,0.01651,0.10104,1
0,10,0.00877,0.21038,1
0,13,0.01139,0.27063,1
0,16,0.00489,0.32353,1
0,17,0.00778,0.34489,1
0,22,0.01702,0.45032,2
0,29,0.00056,0.59087,1
0,30,0.00683,0.60952,1
0,36,0.01674,0.72497,1
0,37,0.0,0.74471,1
0,38,0.002,0.76684,1
0,45,0.00542,0.91786,1
1,1,0.02658,0.03204,2
1,5,0.03379,0.1095,4
1,6,0.03497,0.13068,5
1,7,0.02981,0.15004,2
1,8,0.03728,0.16626,3
1,9,0.03784,0.18468,4
1,10,0.03766,0.20268,1
1,11,0.034,0.22889,3
1,12,0.03621,0.25701,1
1,20,0.02924,0.40102,1
1,22,0.02672,0.44689,1
1,24,0.03053,0.49589,1
1,27,0.02552,0.54506,1
1,30,0.02812,0.61053,2
1,39,0.02153,0.78356,1
1,42,0.03001,0.84899,1
2,0,0.05129,0.01484,1
2,9,0.04557,0.18628,2
2,10,0.04125,0.21258,3
2,11,0.04181,0.23257,3
2,12,0.0409,0.24714,1
2,13,0.04313,0.27093,4
2,14,0.04223,0.28262,2
2,15,0.04601,0.30845,4
2,16,0.04724,0.32616,4
2,18,0.05104,0.37142,3
2,19,0.05034,0.3868,2
2,20,0.0523,0.40872,2
2,21,0.05081,0.43119,3
2,23,0.05242,0.46217,1
2,24,0.05238,0.4897,3
2,25,0.05114,0.50937,2
2,26,0.05914,0.5329,2
2,34,0.04495,0.69142,3
2,41,0.04965,0.82328,2
2,42,0.04735,0.84334,1
3,0,0.07567,0.0062,1
3,4,0.07529,0.09064,4
3,5,0.07524,0.11256,3
3,6,0.07663,0.12668,6
3,7,0.07372,0.15045,4
3,8,0.07477,0.17203,3
3,9,0.0748,0.18985,8
3,10,0.07482,0.21496,4
3,11,0.07424,0.22626,9
3,12,0.07459,0.25313,3
3,13,0.07474,0.26553,1
3,14,0.07296,0.29569,2
3,15,0.0753,0.31416,1
3,16,0.07242,0.32893,3
3,17,0.07318,0.35805,3
3,18,0.07474,0.37133,6
3,19,0.07677,0.39262,6
3,21,0.07511,0.43021,6
3,22,0.07196,0.44699,3
3,23,0.0731,0.4694,5
3,24,0.07196,0.4908,4
3,25,0.0613,0.50509,1
3,26,0.06874,0.5289,2
3,27,0.07375,0.54831,6
3,28,0.06585,0.56862,6
3,29,0.06954,0.59178,8
3,30,0.07706,0.60559,1
3,31,0.06893,0.63472,2
3,32,0.07444,0.64571,1
3,33,0.07032,0.66989,4
3,36,0.07687,0.73268,1
3,43,0.0632,0.87996,1
3,46,0.06224,0.92598,1
3,48,0.06676,0.97752,1
4,2,0.08665,0.05864,1
4,4,0.09036,0.08932,6
4,5,0.08685,0.11152,7
4,6,0.08855,0.12823,9
4,7,0.09238,0.14742,3
4,8,0.09579,0.16594,5
4,9,0.0854,0.18876,9
4,10,0.08889,0.21121,9
4,11,0.08802,0.22436,3
4,12,0.08988,0.24764,7
4,13,0.08952,0.27091,10
4,14,0.0916,0.29105,9
4,15,0.09148,0.31248,11
4,16,0.08988,0.33058,13
4,17,0.0834,0.35371,1
4,18,0.08653,0.37028,5
4,19,0.08768,0.39194,8
4,20,0.09144,0.40486,7
4,21,0.09051,0.42692,7
4,22,0.08859,0.44979,9
4,23,0.08874,0.46891,6
4,24,0.0886,0.48907,7
4,25,0.09092,0.51143,12
4,26,0.08847,0.52813,4
4,27,0.08671,0.552,9
4,28,0.08751,0.57085,7
4,29,0.09006,0.5917,10
4,30,0.09352,0.61335,11
4,31,0.08555,0.62908,4
4,32,0.08782,0.64787,4
4,35,0.08553,0.71223,1
4,36,0.081,0.72813,2
4,37,0.08211,0.74236,1
4,38,0.08096,0.77106,1
4,39,0.08823,0.79024,4
4,40,0.0857,0.80787,2
4,41,0.08884,0.8331,4
4,42,0.09156,0.84801,2
4,43,0.09453,0.86824,1
4,44,0.09947,0.8808,1
5,4,0.10804,0.09163,6
5,5,0.1094,0.11146,9
5,6,0.11203,0.13117,6
5,7,0.11404,0.15346,4
5,8,0.11185,0.1691,11
5,9,0.10538,0.19003,6
5,10,0.10767,0.20963,8
5,11,0.11015,0.2322,9
5,12,0.10441,0.24801,4
5,13,0.11186,0.27193,4
5,14,0.11025,0.29342,5
5,15,0.1113,0.30708,6
5,16,0.11123,0.33208,9
5,17,0.11062,0.35411,8
5,18,0.10896,0.36965,11
5,19,0.10566,0.38701,10
5,20,0.11143,0.40923,8
5,21,0.10623,0.43175,7
5,22,0.10692,0.44954,7
5,23,0.10682,0.47131,4
5,24,0.10947,0.49225,8
5,25,0.1111,0.50952,8
5,26,0.10983,0.52952,9
5,27,0.10791,0.55057,7
5,28,0.11044,0.56895,13
5,29,0.10837,0.59207,6
5,30,0.11106,0.60916,5
5,31,0.11138,0.6282,6
5,32,0.10991,0.64499,7
5,33,0.10738,0.6691,1
5,42,0.11579,0.8508,1
5,44,0.10547,0.89419,2
5,45,0.10278,0.91041,4
5,46,0.1148,0.9281,5
5,47,0.117,0.9403,1
5,48,0.11524,0.97153,1
5,49,0.1097,0.98283,1
6,4,0.1316,0.08949,7
6,5,0.13105,0.10828,7
6,6,0.12917,0.12942,13
6,7,0.12958,0.1513,5
6,8,0.12813,0.16973,12
6,9,0.12847,0.19005,8
6,10,0.12809,0.209,3
6,11,0.12344,0.22715,4
6,12,0.12634,0.2526,1
6,13,0.12634,0.26738,2
6,14,0.12186,0.28767,2
6,15,0.12401,0.30981,4
6,16,0.12518,0.32673,2
6,17,0.13412,0.35127,2
6,18,0.12449,0.37257,8
6,19,0.12944,0.39393,1
6,20,0.12427,0.40655,5
6,21,0.1256,0.42765,2
6,22,0.12718,0.44818,4
6,23,0.12518,0.46803,8
6,24,0.1284,0.49538,4
6,25,0.12533,0.51935,1
6,26,0.12561,0.53006,3
6,27,0.12758,0.54625,7
6,30,0.1273,0.61278,4
6,31,0.12922,0.63804,1
6,32,0.1242,0.64543,4
6,33,0.13776,0.66477,1
6,34,0.13079,0.69226,1
6,36,0.13222,0.72756,1
6,37,0.12062,0.75449,1
6,45,0.13874,0.91285,1
6,46,0.12989,0.92604,5
6,47,0.12512,0.94103,1
6,49,0.12577,0.99597,1
7,1,0.14917,0.03512,1
7,2,0.1428,0.0535,1
7,4,0.14618,0.09186,6
7,5,0.1485,0.11075,11
7,6,0.14822,0.13431,5
7,7,0.14725,0.14881,5
7,8,0.14649,0.16645,5
7,9,0.14936,0.19022,7
7,10,0.14718,0.20592,8
7,14,0.14775,0.29237,1
7,17,0.1528,0.3498,1
7,18,0.14147,0.3694,1
7,21,0.14469,0.42657,1
7,27,0.1475,0.55269,2
7,28,0.14632,0.56521,1
7,32,0.15303,0.64317,1
